timestamp,tipo_gerador,tipo_atividade,bairro_cidade,tipos_residuo,residuos_organicos,especificacao_residuos,origem_residuo,frequencia_descarte,quantidade_gerada,destino_atual,custo_destinacao,potencial_reaproveitamento,caracteristica_residuo,tentativa_reutilizacao,melhor_solucao,num_pessoas,conscientizacao,interesse_aprender
27/02/2026 21:33:48,Pessoa física (residência),Residencial,Cristo Rei,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Borra de café","Borra de café, casca de banana, melancia, laranja, restos de comida (arroz, feijão, macarrão)",Consumo diário,,5–10 kg por semana,Coleta pública comum,Não,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Sim,,1 a 3,,Sim
27/02/2026 21:48:48,Pessoa física (residência),Residencial,Efapi,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Legumes e verduras estragadas","Restos de carne, feijão, arroz e legumes inteiros que estragam",Consumo diário,,1–5 kg por semana,Coleta pública comum,Sim,Sim,"Alto teor orgânico, É úmido",Não,,1 a 3,,Não
27/02/2026 21:52:26,Pessoa física (residência),Residencial,Efapi,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Papelão","Restos de comida, Cascas de frutas, Casca de ovos, Cascas de legumes e verduras, Frutas estragadas",resto de arroz ,Consumo diário,,1–5 kg por semana,Coleta pública comum,Não,Sim,Alto teor orgânico,Não,,1 a 3,,Talvez
28/02/2026 07:05:58,Pessoa física (residência),Residencial,Presidente Médici,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de legumes e verduras, Legumes e verduras estragadas","Restos de comida pronta,arroz feijão,legumes como abibrinha cascas de banana ,cascas de melancia,melão,cascas de uva ,saladas",Consumo diário,,1–5 kg por semana,Coleta seletiva,Não,Sim,Alto teor orgânico,Não,,1 a 3,,Sim
28/02/2026 09:24:36,Pessoa física (residência),Residencial,Coronel Freitas,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Cascas de legumes e verduras",Cascas de legumes ,Consumo diário,,5–10 kg por semana,Reaproveitamento,Não,Não,Alto teor orgânico,Não,,4 a 6,,Sim
28/02/2026 09:57:39,Pessoa física (residência),Residencial,Efapi,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Casca de ovos, Borra de café",Cascas de banana,Consumo diário,,Não sei estimar,Coleta pública comum,Não,Nunca pensei sobre isso,É úmido,Não,,1 a 3,,Talvez
28/02/2026 10:54:53,Pessoa física (residência),Residencial,Efapi,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas","Borra de café 
Semente de fruta 
Cascas de fruta 
Casca de ovo
Comidas que já estragaram 
Embalagens ",Consumo diário,,1–5 kg por semana,Coleta pública comum,Não sei,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Não,,1 a 3,,Sim
28/02/2026 13:12:12,Pessoa física (residência),Residencial,Desbravador,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Casca de ovos, Cascas de legumes e verduras","Casca de ovo/cenoura/batata/chuchu/abóbora/cebola/alho, folhas de alface/repolho, restos de carne.",Consumo diário,,1–5 kg por semana,Coleta pública comum,Não,Sim,"Alto teor orgânico, É úmido",Sim,,1 a 3,,Talvez
28/02/2026 18:00:11,Pessoa física (residência),Residencial,Frei Bruno,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Casca de ovos","Restos de Comida, Cascas de Frutas",Consumo diário,,5–10 kg por semana,Compostagem,Não,Sim,"Alto teor orgânico, É úmido",Sim,,4 a 6,,Sim
28/02/2026 18:33:26,Pessoa física (residência),Residencial,Outro,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Cascas de legumes e verduras","Restos de frutas de diversos tipos, casca de ovos, erva mate e terere, café, restos de comida...",Consumo diário,,Não sei estimar,Compostagem,Não,Sim,Alto teor orgânico,Sim,,4 a 6,,Sim
28/02/2026 19:08:09,Pessoa física (residência),Residencial,Chapecó (sem bairro),"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Metal","Restos de comida, Cascas de frutas, Casca de ovos, Cascas de legumes e verduras, Legumes e verduras estragadas","Restos de alimentos (feijão e arroz);
Cascas de ovos (ovos caipiras);
Cascas de laranja;
Cascas de batata;
Restos de salada (geralmente as bordas) estragadas.",Consumo diário,,1–5 kg por semana,Compostagem,Não,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Sim,,4 a 6,,Talvez
28/02/2026 19:12:30,Pessoa física (residência),Residencial,Coronel Freitas,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Casca de ovos, Cascas de legumes e verduras","Casca de ovos 
Cascas de verduras e legumes 
Restos de alimentos ",Consumo diário,,1–5 kg por semana,Descarte,Não,Sim,Não sei informar,Não,,4 a 6,,Sim
28/02/2026 19:12:48,Pessoa física (residência),Serviços,União do Oeste,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Cascas de frutas, Casca de ovos, Cascas de legumes e verduras",Cascas de banana ,Consumo diário,,1–5 kg por semana,Compostagem,Não,Sim,"Contém vitaminas, minerais e compostos nutritivos",Sim,,1 a 3,,Sim
28/02/2026 19:31:47,Microempreendedor individual (MEI),Serviços,Centro,"Plástico, Papelão, Vidro","Restos de comida, Casca de ovos","Resto de carne, cascas e sementes de frutas ",Consumo diário,,Não sei estimar,Coleta pública comum,Sim,Sim,É úmido,Não,,1 a 3,,Talvez
28/02/2026 19:57:21,Instituição pública,Educadora,Coronel Freitas,Plástico,"Restos de comida, Cascas de legumes e verduras, Legumes e verduras estragadas","Restos de carne , cascas de legumes, cas cas de frutas. ",Consumo diário,,Não sei estimar,Reaproveitamento,Não,Sim,"Contém vitaminas, minerais e compostos nutritivos",Sim,,1 a 3,,Sim
28/02/2026 20:27:16,Pessoa física (residência),Residencial,União do Oeste,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Casca de ovos","Casca de banana 
Laranja
Maçã ",Processo produtivo,,1–5 kg por semana,Compostagem,Não,Sim,É úmido,Não,,1 a 3,,Sim
28/02/2026 20:30:41,Pessoa física (residência),Residencial,São Cristóvão,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Cascas de legumes e verduras"," restos de comidas, cascas de frutas etc.",Consumo diário,,1–5 kg por semana,Coleta seletiva,Sim,Sim,Alto teor orgânico,Sim,,1 a 3,,Talvez
28/02/2026 20:38:06,Pessoa física (residência),Residencial,São Cristóvão,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Cascas de legumes e verduras","Restos de comidas, cascas de frutas e legumes etc.",Consumo diário,,1–5 kg por semana,Coleta seletiva,Sim,Sim,Alto teor orgânico,Sim,,1 a 3,,Sim
28/02/2026 20:54:53,Pessoa física (residência),Residencial,Coronel Freitas,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Cascas de legumes e verduras","Cascas de laranja, banana, restos de feijão, carne, cascas de batata, moranga, mandioca.",Consumo diário,,1–5 kg por semana,Reaproveitamento,Não,Sim,É úmido,Não,,4 a 6,,Sim
28/02/2026 21:02:16,Pessoa física (residência),Residencial,Pinhalzinho,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Papelão","Cascas de frutas, Casca de ovos, Borra de café","Casca de banana, casca e semente de mamão, borra de café. ",Consumo diário,,1–5 kg por semana,Coleta seletiva,Não,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Não,,1 a 3,,Sim
28/02/2026 21:02:47,Pessoa física (residência),Residencial,União do Oeste,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Cascas de frutas, Casca de ovos, Cascas de legumes e verduras",Casca de diversos legumes e frutos ,Consumo diário,,1–5 kg por semana,Reaproveitamento,Não,Sim,"Contém vitaminas, minerais e compostos nutritivos",Sim,,1 a 3,,Sim
28/02/2026 21:05:18,Pessoa física (residência),Residencial,União do Oeste,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Cascas de frutas, Casca de ovos, Cascas de legumes e verduras",Casca de diversos legumes e frutas,Consumo diário,,1–5 kg por semana,Reaproveitamento,Não,Sim,É seco,Sim,,1 a 3,,Sim
28/02/2026 21:07:17,Pessoa física (residência),Residencial,União do Oeste,"Plástico, Resíduos químicos","Cascas de frutas, Casca de ovos, Cascas de legumes e verduras",Cascas de legumes e verduras,Consumo diário,,1–5 kg por semana,Reaproveitamento,Não,Sim,É seco,Sim,,1 a 3,,Sim
28/02/2026 21:15:47,Pequena empresa,Serviços,Outro,"Orgânicos (restos de alimentos, cascas, bagaço), Resíduos químicos","Cascas de frutas, Casca de ovos, Cascas de legumes e verduras",Cascas de bananas,Consumo diário,,1–5 kg por semana,Compostagem,Não,Sim,Alto teor orgânico,Sim,,1 a 3,,Sim
